,filePath,age,gender,race
0,./Dataset/UTKFace/1_0_3_20161219230035168.jpg,1,0,3
1,./Dataset/UTKFace/37_0_0_20170109010706831.jpg,37,0,0
2,./Dataset/UTKFace/24_1_4_20170117194848067.jpg,24,1,4
3,./Dataset/UTKFace/73_0_0_20170117204851351.jpg,73,0,0
4,./Dataset/UTKFace/53_0_0_20170117161102128.jpg,53,0,0
5,./Dataset/UTKFace/26_0_1_20170113135559835.jpg,26,0,1
6,./Dataset/UTKFace/30_1_0_20170116214239576.jpg,30,1,0
7,./Dataset/UTKFace/37_1_1_20170112215450519.jpg,37,1,1
8,./Dataset/UTKFace/38_1_1_20170112204552523.jpg,38,1,1
9,./Dataset/UTKFace/25_0_1_20170113133616655.jpg,25,0,1
10,./Dataset/UTKFace/54_1_1_20170112222302265.jpg,54,1,1
11,./Dataset/UTKFace/26_1_3_20170117154940189.jpg,26,1,3
12,./Dataset/UTKFace/1_1_4_20161221201923657.jpg,1,1,4
13,./Dataset/UTKFace/28_0_0_20170117202432502.jpg,28,0,0
14,./Dataset/UTKFace/59_0_0_20170113190732385.jpg,59,0,0
15,./Dataset/UTKFace/35_0_2_20170116192510762.jpg,35,0,2
16,./Dataset/UTKFace/12_1_0_20170109213526011.jpg,12,1,0
17,./Dataset/UTKFace/5_1_3_20161220145018152.jpg,5,1,3
18,./Dataset/UTKFace/61_1_3_20170119211903336.jpg,61,1,3
19,./Dataset/UTKFace/37_0_2_20170116184939699.jpg,37,0,2
20,./Dataset/UTKFace/80_0_2_20170116233216420.jpg,80,0,2
21,./Dataset/UTKFace/65_1_3_20170109135755974.jpg,65,1,3
22,./Dataset/UTKFace/1_0_3_20161220220358441.jpg,1,0,3
23,./Dataset/UTKFace/30_0_3_20170119204751837.jpg,30,0,3
24,./Dataset/UTKFace/51_1_0_20170104170143329.jpg,51,1,0
25,./Dataset/UTKFace/21_1_2_20170116171146065.jpg,21,1,2
26,./Dataset/UTKFace/36_0_1_20170117175543360.jpg,36,0,1
27,./Dataset/UTKFace/54_0_0_20170120223314300.jpg,54,0,0
28,./Dataset/UTKFace/31_0_0_20170117131124063.jpg,31,0,0
29,./Dataset/UTKFace/53_1_0_20170109220751701.jpg,53,1,0
30,./Dataset/UTKFace/30_1_0_20170117150839178.jpg,30,1,0
31,./Dataset/UTKFace/1_1_3_20161220143350174.jpg,1,1,3
32,./Dataset/UTKFace/51_0_3_20170119211842089.jpg,51,0,3
